qDate,qTime,lng,lat,qType,qCityname,Weather,light,RoadtYPE,Location,AccidentType,Ranking
20230801,80100,120.35,23.31,其他,臺南市東山區段巷弄號口聖賢里頂窩62之16號,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230914,175200,120.25,22.99,一般地址,臺南市東區裕農路段巷弄953號口,晴,0,直路,快車道,對撞,6
20230927,71958,120.18,23.05,其他,臺南市安南區段巷弄號口仁安一街70巷口,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230906,110000,120.22,23.01,一般地址,臺南市北區林森路三段段巷弄231號口,晴,1,直路,機車優先道,對撞,6
20230922,111500,120.23,23,一般地址,臺南市北區東豐路段巷弄477號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230925,74537,120.22,23.02,其他,臺南市北區段巷弄號口大武街597巷35弄中華世家停車場前,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230926,103700,120.21,23.01,交叉路口,臺南市北區公園路段746巷弄號公園路口,晴,1,三岔路,交叉口附近,對撞,6
20230916,184501,120.18,22.94,交叉路口,臺南市南區明興路段巷弄號明興路口,晴,1,三岔路,交叉路口內,對撞,6
20230930,180500,120.19,22.97,交叉路口,臺南市南區新都路段巷弄號德興路口,晴,1,四岔路,交叉口附近,對撞,6
20230913,80400,120.08,23.12,無,臺南市七股區段巷弄號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230928,91900,120.27,23.08,其他,臺南市新市區段巷弄號口大洲排水大洲四號橋往五號橋,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230929,91000,120.32,23.1,一般地址,臺南市新市區大營里區道南139線段巷弄大營10-5號口,晴,1,直路,一般車道(未劃分快慢車道),對撞,6
20230908,83000,120.29,23.1,其他,臺南市新市區段巷弄號口大順六路255巷67號,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230919,122648,120.27,22.91,一般地址,臺南市歸仁區長榮路1段200巷72弄112-1號口,晴,1,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
20230928,120807,120.28,22.97,一般地址,臺南市歸仁區保興街段36巷弄13號口,晴,0,三岔路,一般車道(未劃分快慢車道),對撞,6
20230901,142300,120.26,23.03,一般地址,臺南市永康區永大路二段巷弄1101號口,陰,1,直路,快車道,對撞,6
20230927,80300,120.22,23.02,其他,臺南市永康區段巷弄號口柴頭港溪便道350648號路燈北向22.1公尺,晴,0,直路,一般車道(未劃分快慢車道),對撞,6
20230925,100100,120.46,23.37,其他,臺南市白河區段巷弄號口汴頭里南94-1線汴頭高分22號電桿處,晴,0,彎曲路及附近,一般車道(未劃分快慢車道),對撞,6
